Tournament,Seed,TeamID
M,W01,1345
M,W02,1266
M,W03,1243
M,W04,1397
M,W05,1181
M,W06,1246
M,W07,1277
M,W08,1272
M,W09,1194
M,W10,1425
M,W11,1344
M,W12,1331
M,W13,1418
M,W14,1286
M,W15,1436
M,W16,1192
M,X01,1104
M,X02,1112
M,X03,1124
M,X04,1438
M,X05,1361
M,X06,1166
M,X07,1281
M,X08,1268
M,X09,1452
M,X10,1429
M,X11,1301
M,X12,1158
M,X13,1202
M,X14,1364
M,X15,1343
M,X16,1369
M,Y01,1222
M,Y02,1400
M,Y03,1462
M,Y04,1231
M,Y05,1274
M,Y06,1235
M,Y07,1401
M,Y08,1234
M,Y09,1120
M,Y10,1336
M,Y11,1280
M,Y12,1179
M,Y13,1245
M,Y14,1244
M,Y15,1159
M,Y16,1297
M,Z01,1242
M,Z02,1417
M,Z03,1211
M,Z04,1163
M,Z05,1388
M,Z06,1395
M,Z07,1321
M,Z08,1116
M,Z09,1228
M,Z10,1129
M,Z11,1113
M,Z12,1433
M,Z13,1233
M,Z14,1213
M,Z15,1421
M,Z16,1224
W,W01,3376
W,W02,3268
W,W03,3323
W,W04,3417
W,W05,3328
W,W06,3166
W,W07,3112
W,W08,3378
W,W09,3266
W,W10,3452
W,W11,3228
W,W12,3339
W,W13,3170
W,W14,3381
W,W15,3221
W,W16,3313
W,X01,3390
W,X02,3234
W,X03,3181
W,X04,3400
W,X05,3257
W,X06,3160
W,X07,3199
W,X08,3279
W,X09,3211
W,X10,3208
W,X11,3292
W,X12,3179
W,X13,3187
W,X14,3233
W,X15,3368
W,X16,3357
W,Y01,3231
W,Y02,3428
W,Y03,3261
W,Y04,3437
W,Y05,3450
W,Y06,3276
W,Y07,3301
W,Y08,3329
W,Y09,3274
W,Y10,3343
W,Y11,3424
W,Y12,3195
W,Y13,3156
W,Y14,3218
W,Y15,3205
W,Y16,3284
W,Z01,3439
W,Z02,3163
W,Z03,3326
W,Z04,3397
W,Z05,3235
W,Z06,3314
W,Z07,3124
W,Z08,3425
W,Z09,3355
W,Z10,3104
W,Z11,3345
W,Z12,3405
W,Z13,3387
W,Z14,3241
W,Z15,3436
W,Z16,3151
